Time,Analyse.Calculations.ElapsedTimeToCreateLayer,Analyse.Calculations.Heat.TotalCoolTime,Analyse.Calculations.Heat.TotalHeatTime,Analyse.Calculations.Melt[1].ContourLength,Analyse.Calculations.Melt[1].ContourTime,Analyse.Calculations.Melt[1].ScanlengthHistogram[0],Analyse.Calculations.Melt[1].ScanlengthHistogram[10],Analyse.Calculations.Melt[1].ScanlengthHistogram[11],Analyse.Calculations.Melt[1].ScanlengthHistogram[12],Analyse.Calculations.Melt[1].ScanlengthHistogram[13],Analyse.Calculations.Melt[1].ScanlengthHistogram[14],Analyse.Calculations.Melt[1].ScanlengthHistogram[15],Analyse.Calculations.Melt[1].ScanlengthHistogram[16],Analyse.Calculations.Melt[1].ScanlengthHistogram[1],Analyse.Calculations.Melt[1].ScanlengthHistogram[2],Analyse.Calculations.Melt[1].ScanlengthHistogram[3],Analyse.Calculations.Melt[1].ScanlengthHistogram[4],Analyse.Calculations.Melt[1].ScanlengthHistogram[5],Analyse.Calculations.Melt[1].ScanlengthHistogram[6],Analyse.Calculations.Melt[1].ScanlengthHistogram[7],Analyse.Calculations.Melt[1].ScanlengthHistogram[8],Analyse.Calculations.Melt[1].ScanlengthHistogram[9],Analyse.Calculations.Melt[1].SquareBeginSpeed,Analyse.Calculations.Melt[1].SquaresTime,Analyse.Calculations.Preheating[0].ApproximatedTotalPreheatTime,Analyse.Calculations.Preheating[0].Preheat1Area,Analyse.Calculations.Preheating[0].Preheat1Time,Analyse.Calculations.Preheating[0].Preheat2Area,Analyse.Calculations.Preheating[0].Preheat2Time,Analyse.Calculations.Preheating[0].Preheat3Area,Analyse.Calculations.Wafer[2].WaferTime,Builds.State.CurrentBuild.CurrentHeight,Number pores,ratio surface STL / POR,hist_diameter_1pix,hist_diameter_2pix,hist_diameter_3pix,hist_diameter_4pix,hist_diameter_5pix,hist_diameter_6pix,hist_diameter_7pix,hist_diameter_8pix,hist_diameter_9pix,hist_diameter_10pix,hist_diameter_11pix,hist_diameter_12pix,hist_diameter_13pix,hist_diameter_14pix
1.47E+12,0.7800011,0,0,4394.2,5.618183,17,530,0,0,0,0,0,0,15,14,20,24,52,131,35,5,3,45473.68,16.96869,20.02592,43210.21,13.50323,38327,6.321287,4883.215,4.005445,0.8,33,6.85E-05,11,3,0,0,0,0,0,0,0,0,0,0,0,0
1.47E+12,1.010001,0,0,4412.05,5.640893,55,37,300,0,2,0,0,0,41,208,102,84,74,111,69,40,37,45473.68,21.37001,20.03093,43249.3,13.51534,38293.88,6.315831,4955.422,4.001293,0.8,33,6.85E-05,11,3,0,0,0,0,0,0,0,0,0,0,0,0
1.47E+12,1.010001,0,0,4412.05,5.640893,55,37,300,0,2,0,0,0,41,208,102,84,74,111,69,40,37,45473.68,21.37001,20.03093,43249.3,13.51534,38293.88,6.315831,4955.422,4.001293,0.85,208,0.000596211,25,24,11,5,4,1,0,1,0,0,0,0,0,0
1.47E+12,1.010001,0,0,4429.004,5.662486,51,36,313,1,0,0,0,0,42,120,106,132,84,102,49,45,35,45473.68,20.70452,20.0344,43210.21,13.50323,38345.98,6.324414,4864.238,4.000834,0.85,208,0.000596211,25,24,11,5,4,1,0,1,0,0,0,0,0,0
1.47E+12,1.010001,0,0,4429.004,5.662486,51,36,313,1,0,0,0,0,42,120,106,132,84,102,49,45,35,45473.68,20.70452,20.0344,43210.21,13.50323,38345.98,6.324414,4864.238,4.000834,0.9,125,0.000240513,23,4,0,1,1,0,0,1,0,0,0,0,0,0
1.47E+12,0.7700011,0,0,4445.396,5.683379,13,541,1,0,2,1,0,0,9,9,9,18,72,102,43,2,2,45473.68,16.80478,20.03254,43249.3,13.51534,38314.98,6.319314,4934.316,3.938682,0.9,125,0.000240513,23,4,0,1,1,0,0,1,0,0,0,0,0,0
1.47E+12,0.7700011,0,0,4445.396,5.683379,13,541,1,0,2,1,0,0,9,9,9,18,72,102,43,2,2,45473.68,16.80478,20.03254,43249.3,13.51534,38314.98,6.319314,4934.316,3.938682,0.95,123,0.00022679,19,5,1,0,1,0,1,0,0,0,0,0,0,0
1.47E+12,0.7700011,0,0,7027.534,8.983156,6,529,0,2,0,0,0,0,53,25,51,50,108,91,33,4,2,45473.68,18.63785,20.03098,43210.21,13.50323,38357.8,6.326367,4852.414,3.911495,0.95,123,0.00022679,19,5,1,0,1,0,1,0,0,0,0,0,0,0
1.47E+12,0.7700011,0,0,7027.534,8.983156,6,529,0,2,0,0,0,0,53,25,51,50,108,91,33,4,2,45473.68,18.63785,20.03098,43210.21,13.50323,38357.8,6.326367,4852.414,3.911495,1,252,0.000646907,63,22,9,5,2,0,0,0,0,0,0,0,0,0
1.47E+12,0.9500013,0,0,7057.403,9.021255,62,37,298,3,0,0,0,0,47,46,57,88,125,200,89,40,38,45473.68,20.91594,20.03437,43249.3,13.51534,38324.46,6.320878,4924.832,3.887155,1,252,0.000646907,63,22,9,5,2,0,0,0,0,0,0,0,0,0
